model,accuracy,precision,recall,f1_score,roc_auc
LogisticRegression,0.7511576813905732,0.5206528245380143,0.7913043478260869,0.627817915756904,0.8479972232767196
HistGradientBoosting,0.7646443425621079,0.5427813521831235,0.7137123745819398,0.6165314976271794,0.8342746451236952
RandomForest,0.7793760766334489,0.5741871049706038,0.651505016722408,0.6103331896234254,0.8313811881256787
